Schvaľovacie číslo / Approval number,Nazov / Name,Mesto / Town,"Okres /
District",Kraj / Region,"Kategória,
činnost /
Category","Pridružené
činnosti /
Associated
activities","Druhy /
Species","Poznámky /
Remarks"
1053,"VER BEST Consulting, s. r. o.",Bratislava V.,Bratislava 5,Bratislavský,PP,CS,P,mp
30718,"Viawork.eu, s.r.o.","Diviacka  Nová
Ves",Prievidza,Trenčiansky,PP,"CP,CS,MP,
PP, RW","A, DU","mp,  rafg,
st"
68,VIJOFEL plus s. r. o.,Bartošovce,Bardejov,Prešovský,PP,"CP, CS, MP","A, DU",mp
1080,"VÍNO MATYŠÁK, s.r.o.",Pezinok,Pezinok,Bratislavský,PP,"CP, CS, PP",ALL,"mp, rafg"
3077,"VJARSPOL, s.r.o.","Nitrianske
Pravno",Prievidza,Trenčiansky,PP,"CP, PP, SH",ALL,"mp, rafg"
6021,Vladimír Stračina MÄSIAR - ÚDENÁR,Banská Belá,"Banská
Štiavnica",Banskobystrický,PP,"CP, CS,  GHE,
PP","DU, wU","mp, rafg"
SK-MI 6-3,"AGRO - BIO s.r.o., Závadka",Závadka,Michalovce,Košický,EPC,,A,
SK-VH-KN-02,"Agrodružstvo Kameničná, farma Decsi",Kameničná,Komárno,Nitriansky,EPC,CS,A,
10127,Agro-družstvo Klokoč,Klokoč,Detva,Banskobystrický,EPC,,A,
SK-TN 1-6,Agrokombinát a.s.,Veľké Bierovce,Trenčín,Trenčiansky,EPC,,A,
SK-VK 6-1,"Babičkin dvor, a.s.",Veľký Krtíš,Veľký Krtíš,Banskobystrický,EPC,CS,A,
SK-TT 1-6,Biogal a.s.,Špačince,Trnava,Trnavský,EPC,,,
SK-TV 6-1,Blažej Hrubovský,Malý Ruskov,Trebišov,Košický,EPC,,A,
SK 182 ES,DUGY plus s.r.o.,Prešov,Prešov,Prešovský,EPC,"CS, RW",A,
SK-KS 6-1,"Eggro-farm, s. r. o.","Košická
Polianka","Košice-
okolie",Košický,EPC,,A,
1 SK-NM 6-1,"FarmaJandechDolina,MiroslavJakubec,
farmár,",Priepasné,Myjava,Trenčiansky,EPC,,A,
10065,"FARMA Zliechov, spol. s r.o.",Bodorová,"Turčianské
Teplice",Žilinský,EPC,,A,
286,"FIN PLUS, spol. s r.o.",Žilina,Žilina,Žilinský,EPC,,A,
SK-NR 1-6,Hybrav a.s.,Veľký Lapaš,Nitra,Nitriansky,EPC,,A,
SK 223 ES,Hydina Holding s.r.o.,Ružomberok,Ružomberok,Žilinský,EPC,,,
10045,"HYDINA HOLDING, s.r.o.",Kežmarok,Kežmarok,Prešovský,EPC,"CS, LEP",A,
SK-SI 1-6,HYDINÁR a.s.,Gbely,Skalica,Trnavský,EPC,,A,
SK BB 6-1,"Hydinová  farma  Pačanský  s.r.o.,  hospodársky
dvor Čačín",Čačín,"Banská
Bystrica",Banskobystrický,EPC,CS,A,
SK-KA 6-1,Ing. Štefan Ukrop - AGROUKDO,"Krupina -  časť
Bebrava",Krupina,Banskobystrický,EPC,RW,A,
SK-ZV 6-1,Ing. Štefan Ukrop - AGROUKDO,Krupina,Krupina,Banskobystrický,EPC,,A,
SK-VT 6-1,Ján Gurega,Vechec,"Vranovnad
Topľou",Prešovský,EPC,,A,
SK-PU 6-1,JANEK s.r.o.,Púchov,Púchov,Trenčiansky,EPC,,A,
SK-TN 6-1,JANEK s.r.o.,"Trenčianske
Stankovce",Trenčín,Trenčiansky,EPC,,A,
SK LE 6-1,"JANEKs.r.o.,HydinárskafarmaSpišské
Podhradie","Spišské
Podhradie",Levoča,Prešovský,EPC,,A,
10119,Kamil Vidiščák - PKV,Chotča,Stropkov,Prešovský,EPC,,A,
SK-NR 6-3,"Liaharenský podnik Nitra, a.s, farma Jarok",Nitra,Nitra,Nitriansky,EPC,,A,
10021,"MACH HYDINA BUDMERICE, s.r.o., farma Nový
Pavol",Budmerice,Komárno,Nitriansky,EPC,,A,
10011,Martin Trabalka,Vavrečka,Námestovo,Žilinský,EPC,,A,
SK-DS 6-1,"Medzičilizie, a.s.","Čiližská
Radvaň","Dunajská
Streda",Trnavský,EPC,,A,
241,Michal Dominik - DOVAJ,Rožňava,Rožňava,Košický,EPC,CS,A,
SK-NZ 1-6,NOVOGAL a.s.,"Dvorynad
Žitavou",Nové Zámky,Nitriansky,EPC,,,
SK-LV 1-6,"Novogal Dvory nad Žitavou, a.s.",Levice,Levice,Nitriansky,EPC,,A,
SK-LV 6-1,"Poľnohospodárske družstvo ""Pokrok"", Triediareň
vajec","Tekovské
Lužany",Levice,Nitriansky,EPC,,A,
SK-KN 1-6,Poľnohospodárske družtvo Kolárovo,Kolárovo,Komárno,Nitriansky,EPC,,,
SK-SC 1-6,ProOvo a.s.,Bernolákovo,Senec,Bratislavský,EPC,,,
SK-LC 1-6,"Rimgal, spol. s r.o., Triediareň Nové Hony",Nové Hony,Lučenec,Banskobystrický,EPC,,A,
SK-KS 1-6,"Rudolf Pöhm, Pöhm & Göbl",Medzev,"Košice-
okolie",Košický,EPC,,A,
SK - MT 6-2,"SHP a. s., triediareň vajec Horná štubňa",Horná štubňa,"Turčianské
Teplice",Žilinský,EPC,,A,
SK-RS 1-6,Triediareň vajec Spohypo Rimavská Sobota a.s.,"Rimavská
Sobota","Rimavská
Sobota",Banskobystrický,EPC,,A,
10116,Triediareň vajec Tešedíkovo,Tešedíkovo,Šaľa,Nitriansky,EPC,,A,
SK - BJ 6 - 3,Valerián Mihňák,Koprivnica,Bardejov,Prešovský,EPC,RW,A,
227,"Promt SR, s.r.o.",Prešov,Prešov,Prešovský,PP,"CS, PP",A,
289,"Výroba vaječných výrobkov, Vector Invest, s.r.o.,",Prešov,Prešov,Prešovský,PP,"CS, LEP",A,
10045,"HYDINA HOLDING, s.r.o.",Kežmarok,Kežmarok,Prešovský,LEP,"CS, EPC",A,
10053,MPC PLUS spol. s r.o.,"SpišskáNová
Ves","Spišská
Nová Ves",Košický,LEP,CS,A,
