Nr	Namn	Postadress	Kommun	Län	Kategori	Övrig verksamhet	Djurslag	Kontrollerande myndighet	lat	lng
6413	Holmryds Mejeri	c/o Göran Larsson, Holmryd 3 , 504 96 BREDARED	BORÅS	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	57.7935491	12.8623513
6415	Marcuskräftan	Folkungavägen 8, Box 70, 596 36 VÄDERSTAD	MJÖLBY	ÖSTERGÖTLAND	PP	\N	\N	Livsmedelsverket	58.3127355	14.9232287
6417	Trångsvikens chark AB	Alsenvägen 14  , 835 96 TRÅNGSVIKEN	KROKOM	JÄMTLAND	PP(mp)	\N	\N	Livsmedelsverket	63.3345573	14.0170983
6418	Stafva Mejeri AB	Barlingbo Stava 300 , 621 78 VISBY	GOTLAND	GOTLAND	PP	\N	B	Livsmedelsverket	57.5539881	18.4385725
6420	Lohilo Foods	GTR1012 FE120, 105 69 Stockholm	VÄXJÖ	KRONOBERG	PP	\N	B	Livsmedelsverket	59.3293235	18.0685808
6421	Kossans i Berg AB	Hoverberg 249, 845 62 SVENSTAVIK	BERG	JÄMTLAND	PP	CS(i)	B	Livsmedelsverket	62.8023714	14.4357728
6423	Furumossens gårdsmejeri	Grantinge 5215, 281 91 HÄSSLEHOLM	HÄSSLEHOLM	SKÅNE LÄN	PP	CS(kf)	B	Livsmedelsverket	56.1642655	13.8270613
6424	Klämmesbo Tidaholm	Klämmesbo 2, 52294 TIDAHOLM	HJO	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Livsmedelsverket	58.2296053	14.1024941
6425	GENIUN AB	Poppelvägen 66, 462 51 VÄNERSBORG	VÄNERSBORG	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	58.3627094	12.3432266
6426	Högens Fårgård	Högen 770, 462 93 VÄNERSBORG	VÄNERSBORG	VÄSTRA GÖTALANDS LÄN	CP MM	IV-CP V-MM I-CP	B C O wU wL	Livsmedelsverket	58.3340088	12.1176315
6429	Räven & Osten	c/o Mathilda Johansson, Lida, 577 77 JÄRNFORSEN	HULTSFRED	KALMAR	PP	\N	B	Livsmedelsverket	57.41541	15.62295
6430	Vitaby Kyrkby Mejeri	c/o Cecilia Olsson, Vitaby 124, 277 36 VITABY	SIMRISHAMN	SKÅNE LÄN	PP	\N	B	Livsmedelsverket	55.6948106	14.1712737
6431	Mejeri Öja Gård	c/o Öja Gårdsprodukter AB, Öja Gård 1, 640 40 STORA SUNDBY	ESKILSTUNA	SÖDERMANLAND	PP	\N	B C	Livsmedelsverket	59.2850882	16.1647914
6432	Koalyckans glass	c/o Annika Erlandsson, Långaskruv Södragården 5, 364 93 ALSTERMO	UPPVIDINGE	KRONOBERG	PP	\N	A	Livsmedelsverket	56.9761432	15.6521348
6433	Svenska Viltråvaror AB (6433)	Addarsnäs Gård 8, 761 93 Norrtälje	NORRTÄLJE	STOCKHOLM	CP GHE MM	V-MM CS(kf) CS(i) IV-CP IV-GHE	wU wL wA wG	Livsmedelsverket	59.6910191	18.5512688
6436	Sjundekvills Gårdsmejeri	Sjundekvills Gård, 598 70 STOREBRO	VIMMERBY	KALMAR	PP	\N	B	Livsmedelsverket	57.5930316	15.8526834
6439	Grenna Glass	Brahegatan 41, 563 32 GRÄNNA	JÖNKÖPING	JÖNKÖPING	PP	X-PP IX-PP	B A	Livsmedelsverket	58.0227315	14.4668727
6440	Höjdens Mejeri	c/o Yvette Wenzel, Farshult 111, 579 94 FAGERHULT	UPPVIDINGE	KRONOBERG	PP	\N	B C	Livsmedelsverket	57.1502778	15.736642
6442	LL 467 Gullbris	c/o Fiskerederi Andersson AB Glommebergsvägen 28, 456 25 SMÖGEN	SOTENÄS	VÄSTRA GÖTALANDS LÄN	FV	\N	\N	Livsmedelsverket	58.3570726	11.2244052
6445	Al Homsi Mejeri	Ryttarevägen 8, 302 62 HALMSTAD	HALMSTAD	HALLAND	PP	\N	B	Livsmedelsverket	56.6524182	12.8992706
6451	Hagarnas mejeri	c/o Linda Pilcher, Jävsgård Hagarna 167, 305 92 HOLM	HALMSTAD	HALLAND	PP	\N	B	Livsmedelsverket	56.7455985	12.8470975
6452	Hagarnas mejeri Slottsmöllan	c/o Linda Pilcher, Jävsgård Hagarna 167, 305 92 HOLM	HALMSTAD	HALLAND	PP	\N	B	Livsmedelsverket	56.7455985	12.8470975
6454	Esbjörntorp Gårdsmjölk Värsås	Värsås, 541 98 Värsås	SKÖVDE	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	58.3647655	14.0691258
6455	Mejas mejeri	c/o Kjell Borthney, Solbergsvägen 57, 862 94 NJURUNDA	SUNDSVALL	VÄSTERNORRLAND	PP	\N	B	Livsmedelsverket	62.2567631	17.3445491
6458	Stockholms Fiskauktion	Fiskhallsvägen 4, 120 44 ÅRSTA	STOCKHOLM	STOCKHOLM	AH	\N	\N	Kommunen	59.2921436	18.0306571
6459	Håkan & Peter Fiske	c/o P & P Sportanläggning AB, Sågaregatan 41, 953 33 Haparanda	HAPARANDA	NORRBOTTEN	PP	\N	\N	Livsmedelsverket	65.8270438	24.1294016
6461	Björks Ringsjön	c/o Fiskbutik & Rökeri vid Ringsjön AB, Råröd Sjögården 133, 243 95 HÖÖR	HÖÖR	SKÅNE LÄN	FFPP PP	CS(kf) CS(i)	\N	Livsmedelsverket	55.879155	13.456347
6464	Gårdsfisk 1	Södra Piggagatan 42 B, 296 33 ÅHUS	KRISTIANSTAD	SKÅNE LÄN	FFPP	CS(kf)	\N	Livsmedelsverket	55.9345112	14.2985552
6465	Revesjö Gårdsmejeri	c/o Maria Bengtsson, Revesjö Katrineberg, 512 94 SVENLJUNGA	SVENLJUNGA	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	57.453195	13.0427621
6466	Kronfågel Harlösa	Industrivägen 10, 241 65 HARLÖSA	ESLÖV	SKÅNE LÄN	CP MM MSM PP(mp)	V-MM V-MSM VI-PP(mp) II-CP	A	Livsmedelsverket	55.7145765	13.5255535
6467	Bosses Fiskbod	c/o Bo Olsson, Karolinervägen 11, 464 50 Dals Rostock	MELLERUD	VÄSTRA GÖTALANDS LÄN	FFPP PP	\N	\N	Livsmedelsverket	58.7150208	12.3527396
6468	Hugo Ericson AB	Spinnerivägen 1, Fack 5062, 448 50 Tollered	LERUM	VÄSTRA GÖTALANDS LÄN	RW	\N	\N	Livsmedelsverket	57.819626	12.4170089
6469	Dellenmejeriet AB	Fänsmyrvägen 1, 824 71 DELSBO	HUDIKSVALL	GÄVLEBORG	PP	\N	B	Livsmedelsverket	61.7956859	16.5656032
6470	Standard Ekologiskt Sweden AB	Kvarndalsvägen 2, 302 41 Halmstad	HALMSTAD	HALLAND	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Livsmedelsverket	56.6711097	12.8198149
6471	Skaldjursfabriken på Orust	c/o Orust Shellfish AB, Ängåsvägen 7, 472 31 SVANESUND	ORUST	VÄSTRA GÖTALANDS LÄN	DC PC	\N	\N	Livsmedelsverket	58.145619	11.8094283
6472	Jannelunds Gård	Övratorp Jannelund, 716 94 MULLHYTTAN	LEKEBERG	ÖREBRO	CP MP MM PP(pap)	V-MP V-MM VI-PP(pap) I-CP	B O P	Livsmedelsverket	59.1606509	14.7421013
6476	Feldts Skara	c/o Feldts Fisk & Skaldjur AB, Roparebacken 25, 456 31 KUNGSHAMN	SKARA	VÄSTRA GÖTALANDS LÄN	RW	\N	\N	Livsmedelsverket	58.3669444	11.243611
6478	Ölands Köksmejeri	c/o Havsvik AB, Alby 121, 386 62 MÖRBYLÅNGA	MÖRBYLÅNGA	KALMAR	PP	\N	B	Livsmedelsverket	56.4819441	16.575021
6479	Mejeriets Skafferi AB	Stillmansgatan 11, 212 25 MALMÖ	MALMÖ	SKÅNE LÄN	RW	CS(kf)	\N	Livsmedelsverket	55.6226217	13.0546337
6480	Viby Lantbruks AB	Viby Prästgård, 635 06 ESKILSTUNA	ESKILSTUNA	SÖDERMANLAND	PP	\N	B	Livsmedelsverket	59.3916989	16.6509759
6481	Västernorrlandsgårdens Kompetenscenter för Kött och Chark	Per Uddéns väg 10, 861 36 Timrå	TIMRÅ	VÄSTERNORRLAND	CP MP MM PP(mp)	III-CP V-MP V-MM VI-PP(mp) CS(kf) I-CP	B O P fG	Livsmedelsverket	62.496044	17.321792
6484	Billinge Gårdsmjölk	c/o Jacob Gustafsson, Billingevägen 20, 761 75 NORRTÄLJE	NORRTÄLJE	STOCKHOLM	PP	\N	B	Livsmedelsverket	59.8513594	18.8125036
6487	Thaifood Trading AB	Drottninggatan 71C, 111 36 STOCKHOLM	NACKA	STOCKHOLM	CP MP MM FFPP	II-CP V-MP V-MM VIII-FFPP CS(kf) I-CP	B O P A	Livsmedelsverket	59.3362331	18.0585975
6491	Valen Trading AB	Valenvägen 13, 475 42 Hönö	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP PP	CS(kf)	\N	Kommunen	57.6917336	11.6424208
6492	Mathantverkshuset Vuollerimdelikatesser	c/o Vuollerimdelikatesser AB, Box 100, 960 30 VUOLLERIM	JOKKMOKK	NORRBOTTEN	PP	\N	B	Livsmedelsverket	66.4305028	20.6064519
6493	Restaurang Esset lunch och catering	Stockholmsvägen 18, 749 40 ENKÖPING	ENKÖPING	UPPSALA	PP(mp)	\N	\N	Livsmedelsverket	59.6459377	17.1121109
6501	Skärgårdens Rökeri	Åsenliden 9, 430 82 DONSÖ	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Kommunen	57.5992592	11.7996408
6503	Yndesäte Gårdsmjölk	Rosenlundsvägen 221, 253 54 MÖRARP	HELSINGBORG	SKÅNE LÄN	PP	\N	B	Livsmedelsverket	56.0496702	12.8487732
6504	Nordisk Kebab	Metallgatan 2 D, 262 72 ÄNGELHOLM	ÄNGELHOLM	SKÅNE LÄN	MP	CS(kf)	\N	Livsmedelsverket	56.2323619	12.863252
6506	Smedsby Gårdsmejeri	Smedsbyvägen 507, 975 98 Luleå	LULEÅ	NORRBOTTEN	PP	\N	B	Livsmedelsverket	65.7899218	22.0717563
6508	Mezefabriken	Hallvägen 7B, 121 62 JOHANNESHOV	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Kommunen	59.2921433	18.0769433
6511	Gålö Gårdsmejeri	c/o Lars Thoresson, Frönäsvägen 2, 137 96 GÅLÖ	HANINGE	STOCKHOLM	PP	\N	B C	Livsmedelsverket	59.0901681	18.2255471
6514	Gutefisk Herrvik	Östergarn Herrvik, 623 68 Fiskehamnen	GOTLAND	GOTLAND	FFPP	\N	\N	Livsmedelsverket	57.4220466	18.9165745
6515	Oscar Innala	Fridhemsvägen 20, 953 94 Seskarö	HAPARANDA	NORRBOTTEN	FFPP PP	\N	\N	Livsmedelsverket	65.740252	23.7309919
6516	Brändö Fiske och sjötjänst	Brändö Hamnväg 9, 975 97 LULEÅ	LULEÅ	NORRBOTTEN	FFPP PP	\N	\N	Livsmedelsverket	65.6981656	22.3335853
6517	Habibi Food	c/o Alkhalil Food Trading AB, Tallvägen 2, 151 38 SÖDERTÄLJE	SÖDERTÄLJE	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.1729698	17.6503445
6518	Antilopen 23	c/o Widéns Åkeri i Kalmar AB, Daléngatan 1, 392 39 KALMAR	KALMAR	KALMAR	CS(f)	\N	\N	Livsmedelsverket	56.6705779	16.3327444
6519	Forsa Gårdsmejeri AB	Högs-frölland 436, 824 92 HUDIKSVALL	HUDIKSVALL	GÄVLEBORG	PP	\N	B	Livsmedelsverket	61.776413	16.9701076
6521	Ljusåsens ost	Vike Ljusåsen, 681 93 Kristinehamn	KRISTINEHAMN	VÄRMLAND	PP(mp) PP	IX-PP VI-PP(mp)	B	Livsmedelsverket	59.1915338	14.1183879
6522	Havstenssunds Ostron	Fiskarhöjden 4, 457 73 HAVSTENSSUND	TANUM	VÄSTRA GÖTALANDS LÄN	DC PC	\N	\N	Livsmedelsverket	58.7569936	11.1800924
6523	Raftsjöhöjdens Gårdsmejeri	Raftsjöhöjden 475, 833 49 HAMMERDAL	STRÖMSUND	JÄMTLAND	PP	\N	B C	Livsmedelsverket	63.6072308	14.988046
6528	Tobiuo sushi	c/o Unur Vemdalsgatan 53, 162 74 Vällingby	HUDDINGE	STOCKHOLM	FFPP	\N	\N	Livsmedelsverket	59.3546827	17.8829646
6530	13:e Protein Import AB (SELF)	Speditionsvägen 45, 142 50 SKOGÅS	HUDDINGE	STOCKHOLM	PP	IX-PP VIII-PP	B	Livsmedelsverket	59.1950345	18.1120946
6532	Tayba Halmstad AB	Allégatan 1, 313 32 OSKARSTRÖM	HALMSTAD	HALLAND	PP	\N	B	Livsmedelsverket	56.8034015	12.9734658
6533	Brattskär SD47 SLXH	Kalkemyrsvägen 4, 452 04 NORDKOSTER	STRÖMSTAD	VÄSTRA GÖTALANDS LÄN	FV	\N	\N	Livsmedelsverket	58.8950595	11.011044
6536	Lapplands Mejeri	Centralgatan 27A, 919 31 ÅSELE	ÅSELE	VÄSTERBOTTEN	PP	\N	B	Livsmedelsverket	64.1602826	17.3526006
6538	Gourmeza Food AB	Betongvägen 3, 311 32 FALKENBERG	FALKENBERG	HALLAND	PP(mp) PP	VIII-PP VI-PP(mp)	\N	Livsmedelsverket	56.8966405	12.4696901
6543	Bondens Skafferi Öst	Parkvägen 7, 595 57 MANTORP	MJÖLBY	ÖSTERGÖTLAND	CP MM	V-MM CS(kf) I-CP	B P	Livsmedelsverket	58.3468145	15.2979646
6544	Den Svenska Matfabriken	Magasinsvägen 42, 595 57 MANTORP	MJÖLBY	ÖSTERGÖTLAND	MP PP(mp)	VI-PP(mp) CS(kf) CS(i) V-MP	\N	Livsmedelsverket	58.3460928	15.2773842
6547	Eightmarket Centrallager	Industrivägen 5, 333 72 BREDARYD	VÄRNAMO	JÖNKÖPING	CS(f)	\N	\N	Livsmedelsverket	57.174334	13.7439037
6548	Farmen Köttservice AB	Hallvägen 28, 121 62 JOHANNESHOV	STOCKHOLM	STOCKHOLM	CP MM	V-MM CS(kf) CS(i) I-CP	B O P	Kommunen	59.2905344	18.0783673
6552	Getteröns Fisk & Rökeri	Getterövägen 17, 732 93 VARBERG	VARBERG	HALLAND	PP	\N	\N	Livsmedelsverket	57.1185862	12.2132684
6556	KLT Industrigatan 39 Kyl- och fryslagret	Svetsarevägen 1, 291 36 KRISTIANSTAD	KRISTIANSTAD	SKÅNE LÄN	CS(f) CS(i) CS(k)	\N	\N	Livsmedelsverket	56.053945	14.1642103
6558	Måketorps kött & styckeri	c/o Adele Gillberg, Måketorp 1, 364 33 ÅSEDA	UPPVIDINGE	KRONOBERG	CP MP MM	V-MP V-MM CS(kf) I-CP	B O P	Livsmedelsverket	57.1433338	15.5621052
6559	Charkuterifabriken Norr	Svetsaregatan 2, 302 50 HALMSTAD	HALMSTAD	HALLAND	RW	\N	\N	Livsmedelsverket	56.6592077	12.8776108
6560	LL91 Kristina av Lysekil SDJV	Skal 107, 453 92 LYSEKIL	LYSEKIL	VÄSTRA GÖTALANDS LÄN	FV	\N	\N	Livsmedelsverket	58.316667	11.4666671
6561	Tre Sjöars Kök & Mejeri AB	Östra Öskevik 526, 713 94 NORA	HÄLLEFORS	ÖREBRO	PP	CS(kf)	B	Livsmedelsverket	59.6093881	15.0122307
6562	Al sehool mejeri	Singeshult Hjorten 4, 341 73 LIDHULT	LJUNGBY	KRONOBERG	PP	\N	B	Livsmedelsverket	56.7426744	13.3581051
6563	Vingablick AB	Fiskhamnsgatan 31, 414 58 GÖTEBORG	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP	\N	\N	Kommunen	57.6980584	11.9221168
6565	Tayba Ayran AB	Allegatan 1, 31332 OSKARSTRÖM	HALMSTAD	HALLAND	PP	\N	B	Livsmedelsverket	56.8034015	12.9734658
6566	Kalixfiskarn	Björkforsvägen 21B, 952 72 SANGIS	KALIX	NORRBOTTEN	FFPP PP	\N	\N	Livsmedelsverket	65.8604765	23.4902631
6567	Bergakungen 5	c/o Fiskgrossisten i Helsingborg AB, Måndagsgatan 8, 256 64 HELSINGBORG	HELSINGBORG	SKÅNE LÄN	FFPP PP	CS(kf)	\N	Livsmedelsverket	56.0412195	12.7554023
6570	Storöns fisk	c/o Roland Stenman, Storön 522, 95291 Kalix	KALIX	NORRBOTTEN	FFPP PP	\N	\N	Livsmedelsverket	65.7365926	23.0995939
6571	Jan-Ols Geten Gårdsmejeri	Fäbobacken 501 Jan-Ols, 772 94 GRÄNGESBERG	LJUSNARSBERG	ÖREBRO	PP	\N	B C	Livsmedelsverket	60.0133436	14.9911844
6572	Kjulaås livsmedelsproduktion	Kyrkvägen 19, 635 06 ESKILSTUNA	ESKILSTUNA	SÖDERMANLAND	CP MP MM	II-CP V-MP V-MM CS(kf) CS(i) I-CP	B O P A	Livsmedelsverket	59.3871213	16.6769275
6573	Stekosterian	Kartegården 2 Skånings Åsaka , 532 96 SKARA	GÖTENE	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	58.4260031	13.4643163
6575	Öjebyns Produktionskök	Svartuddsvägen 1, 941 85 PITEÅ	PITEÅ	NORRBOTTEN	PP(mp) FFPP	VIII-FFPP VI-PP(mp)	\N	Livsmedelsverket	65.3165789	21.4972857
6578	Frägsta Mejeri	c/o Team Mejeri AB, Måvägen 6, 891 55 ARNÄSVALL	HUDIKSVALL	GÄVLEBORG	PP	\N	B	Livsmedelsverket	63.3096749	18.7716115
6581	Bottenviksrom	Jutnabbevägen 11, 392 36 KALMAR	HAPARANDA	NORRBOTTEN	PP	\N	\N	Livsmedelsverket	56.6825363	16.3489945
6582	Seafrigo Mineralgatan	Box 7062, 250 07 HELSINGBORG	HELSINGBORG	SKÅNE LÄN	CS(f) CS(k)	\N	\N	Livsmedelsverket	56.0464674	12.6945121
6586	Grab & Taste Sweden AB	c/o Nineteen Ninenty Estate AB, Skiffervägen 4, 591 53 MOTALA	MOTALA	ÖSTERGÖTLAND	PP(mp)	\N	\N	Livsmedelsverket	58.5567188	15.022659
6589	Fryslager	c/o BD Fisk AB, Besiktningsvägen 10, 973 45 LULEÅ	LULEÅ	NORRBOTTEN	CS(f)	\N	\N	Livsmedelsverket	65.6204549	22.0473838
6590	Geteriet	Sörmjöle 255, 905 83 UMEÅ	UMEÅ	VÄSTERBOTTEN	PP	\N	C	Livsmedelsverket	63.689075	19.9997937
6593	Svea Kebab Fabrik AB	Antikvarievägen 3, 724 81 VÄSTERÅS	HALLSTAHAMMAR	VÄSTMANLAND	MP PP(mp)	VI-PP(mp) CS(kf) V-MP	\N	Livsmedelsverket	59.6233684	16.4982795
6594	Gamla pappersbruket i Strömsnäsbruk	c/o Arctic Roe of Scandinavia AB, Lagastigsgatan 6, 287 32 Strömsnäsbruk	MARKARYD	KRONOBERG	PP	\N	\N	Livsmedelsverket	56.5480801	13.7329492
6595	Adam Mejeri AB	Ingenjörsgatan 4, 252 27 Helsingborg	HELSINGBORG	SKÅNE LÄN	PP	\N	B	Livsmedelsverket	56.0304408	12.7155653
6596	Bring Frigo AB	c/o Bring Frigo AB, Box 912, 251 09 HELSINGBORG	HELSINGBORG	SKÅNE LÄN	CS(f) CS(i)	\N	\N	Livsmedelsverket	56.0135183	12.7343892
6597	Fiskhallen Sorunda AB	Elektravägen 15, 126 30 HÄGERSTEN	STOCKHOLM	STOCKHOLM	DC FFPP PP	VIII-FFPP VIII-PP VII-DC	\N	Kommunen	59.2964677	18.014842
6599	Bergslagsköket Johan Kumlin AB	Albacksvägen 41, 711 95 GUSSELBY	LINDESBERG	ÖREBRO	PP(mp)	\N	\N	Livsmedelsverket	59.6485262	15.2215018
6600	Lekeberga Gård	Lekeberga Gård, 719 93 VINTROSA	LEKEBERG	ÖREBRO	CP MM	V-MM I-CP	B O	Livsmedelsverket	59.231004	14.875579
6601	Mejeriet	Viksätter 201, 870 32 ULLÅNGER	KRAMFORS	VÄSTERNORRLAND	PP	\N	B	Livsmedelsverket	63.0066331	18.1038406
6602	Trofo Trading	Stensövägen 89, 392 47 KALMAR	KALMAR	KALMAR	PP(mp)	\N	\N	Livsmedelsverket	56.6525301	16.327988
6603	Al Hana Mejeri	Verumsvägen 75, 280 20 BJÄRNUM	HÄSSLEHOLM	SKÅNE LÄN	PP	\N	B	Livsmedelsverket	56.2972357	13.724781
6606	Göras Lantbruk	Bodavägen 10, 827 53 JÄRVSÖ	LJUSDAL	GÄVLEBORG	PP	\N	B	Livsmedelsverket	61.7655539	16.1500067
6608	Norrstyle Sweden AB	Duvbergsvägen 11A, 143 44 VÅRBY	NYKÖPING	SÖDERMANLAND	FFPP PP	\N	\N	Livsmedelsverket	59.2608978	17.8863116
6609	Darhult Dairy Group AB	Gamla Fjällalunda 208, 311 96 HEBERG	FALKENBERG	HALLAND	RW	\N	\N	Livsmedelsverket	56.9391479	12.644286
6610	Peri Mejeri	Profilvägen 5, 612 35 FINSPÅNG	FINSPÅNG	ÖSTERGÖTLAND	PP	\N	B	Livsmedelsverket	58.7065106	15.7507241
6611	Ådala Gård AB	Ådala, 241 95 BILLINGE	SVALÖV	SKÅNE LÄN	PP	\N	B	Livsmedelsverket	55.999318	13.3720359
6612	Wajanka AB	Ekvägen 20, 373 73 JÄMJÖ	KARLSKRONA	BLEKINGE	FFPP	CS(kf)	\N	Livsmedelsverket	56.197607	15.8383868
6613	Arontorps kroppkakor & mat AB	Algutsrum 182, 386 90 FÄRJESTADEN	MÖRBYLÅNGA	KALMAR	PP(mp)	\N	\N	Livsmedelsverket	56.6841663	16.5211797
6616	Fiskgrossisten i Ytterby	Långavägen 26, 444 61 Stora Höga	KUNGÄLV	VÄSTRA GÖTALANDS LÄN	FFPP PP	CS(kf) CS(i)	\N	Livsmedelsverket	58.0178271	11.8135187
6617	Köttmästaren i Nordmarken	Sveavägen 24, 670 10 TÖCKSFORS	ÅRJÄNG	VÄRMLAND	CP MP MM PP(mp)	V-MP V-MM VI-PP(mp) I-CP	B O P	Livsmedelsverket	59.5079116	11.8402135
6619	VG Chark AB	Slakthusgatan 1, 504 41 BORÅS	BORÅS	VÄSTRA GÖTALANDS LÄN	CP PP(mp)	VI-PP(mp) I-CP	B	Livsmedelsverket	57.7049389	12.9308046
6620	Trosa Fiskeri	Fiskargatan 9, 619 30 TROSA	TROSA	SÖDERMANLAND	FFPP PP	\N	\N	Livsmedelsverket	58.8928384	17.5523846
6623	AK Chark	Kivra: 559155-6781, 106 31 STOCKHOLM	ÅTVIDABERG	ÖSTERGÖTLAND	CP MP MM	V-MP V-MM CS(kf) I-CP	B O	Livsmedelsverket	59.3298964	18.0628098
6624	AB Västgöta Mjölkförädling	Odengatan 6, 521 43 FALKÖPING	FALKÖPING	VÄSTRA GÖTALANDS LÄN	PP(p)	\N	B	Livsmedelsverket	58.1655681	13.5480001
6625	Marine Taste	Ängsvägen 12, 444 31 STENUNGSUND	STENUNGSSUND	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Livsmedelsverket	58.0776062	11.8211369
6626	Fotöfilé AB	Klätterstigen 4, 475 45 FOTÖ	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	FFPP	\N	\N	Kommunen	57.6705027	11.6538064
6627	Norrmejerier Ostlager Ånäset	Snickarvägen 1, 915 34 ÅNÄSET	ROBERTSFORS	VÄSTERBOTTEN	PP	\N	B	Livsmedelsverket	64.2808013	21.0599564
6629	Gulo Gulo Charcuterie	Skästrabergsvägen 14, 827 53 JÄRVSÖ	STOCKHOLM	STOCKHOLM	MP PP(mp)	VI-PP(mp) V-MP	\N	Livsmedelsverket	61.7483998	16.154721
6632	Peckas Naturodlingar	Verkstadsvägen 19, 871 54 HÄRNÖSAND	HÄRNÖSAND	VÄSTERNORRLAND	FFPP PP	\N	\N	Livsmedelsverket	62.650506	17.902228
6634	Ulla-dotterns Gårdsmejeri	Bräckan Norrgården, 661 96 LÅNGSERUD	SÄFFLE	VÄRMLAND	PP	\N	B	Livsmedelsverket	59.289567	12.656992
6638	Västkustmusslor HB	Bergandersväg 2, 456 60 HUNNEBOSTRAND	SOTENÄS	VÄSTRA GÖTALANDS LÄN	DC	\N	\N	Livsmedelsverket	58.451577	11.3030724
6639	Bohus packeri	Sockerbruket 33, 414 51 GÖTEBORG	GÖTEBORG	VÄSTRA GÖTALANDS LÄN	DC	\N	\N	Livsmedelsverket	57.6891573	11.9068551
6640	Sälen Business Center storkök	Långmorvägen 17, 780 67 SÄLEN	MALUNG	DALARNAS LÄN	FFPP PP	\N	\N	Livsmedelsverket	61.1653281	13.2133281
6642	Fruktstation i Malmö AB Al Rayan	Lärkträdsgatan 2B, 213 63 MALMÖ	MALMÖ	SKÅNE LÄN	CS(f) CS(k)	\N	\N	Livsmedelsverket	55.5728384	13.0395573
6643	CLUK	Biblioteksgatan 4, 374 35 KARLSHAMN	KARLSHAMN	BLEKINGE	PP	\N	B	Livsmedelsverket	56.1644253	14.8660445
6644	ConLans AB	Metodvägen 1, 435 33 Mölnlycke	HÄRRYDA	VÄSTRA GÖTALANDS LÄN	CP MP MM	II-CP V-MP V-MM I-CP	B O A	Livsmedelsverket	57.6793143	12.0927822
6645	BIA Rabia Invest AB	Drottninggatan 4A, 212 11 Malmö	BURLÖV	SKÅNE LÄN	FFPP	CS(kf)	\N	Livsmedelsverket	55.6070307	13.0211155
6647	Älvängens Ost & Mejeri	Svenstorp 150, 446 95 ÄLVÄNGEN	ALE	VÄSTRA GÖTALANDS LÄN	PP	\N	B	Livsmedelsverket	57.9434969	12.1722699
6648	Havets Skafferi i Mollösund	Pirhus 1 Fiskhamnen, 414 58 GÖTEBORG	ORUST	VÄSTRA GÖTALANDS LÄN	PP	\N	\N	Livsmedelsverket	57.6996549	11.9257367
6651	Scandinavia Meat AB	c/o Ned EkonomiDomnarvsgatan 11, 163 53 SPÅNGA	NACKA	STOCKHOLM	CP MP MM	II-CP V-MP V-MM CS(kf) CS(i) I-CP	B O A	Livsmedelsverket	59.3930088	17.874636
6653	Bring Frigo AB - Umeå	Box 912, 251 09 HELSINGBORG	UMEÅ	VÄSTERBOTTEN	CS(f) CS(k)	\N	\N	Livsmedelsverket	56.0464674	12.6945121
6655	ChopChop	c/o ChopChop Foods AB Box 6009, 171 06 SOLNA	HUDDINGE	STOCKHOLM	CP MP	II-CP V-MP CS(kf) I-CP	B A	Livsmedelsverket	59.3688791	18.0084334
6656	Ello i Lammhult Chark AB	Värnamovägen 43, 363 44 LAMMHULT	VÄRNAMO	JÖNKÖPING	MP PP(mp)	VI-PP(mp) CS(kf) V-MP	\N	Livsmedelsverket	57.1620729	14.5668027
6657	Fresh Meat & Fish AB	Styckmästargatan 4, 121 62 JOHANNESHOV	STOCKHOLM	STOCKHOLM	CP MM	V-MM I-CP	B O P	Livsmedelsverket	59.2917024	18.0791108
6658	SeaSam Produktion AB	Box 5020, 121 05 Johanneshov	SÖDERTÄLJE	STOCKHOLM	PP	\N	\N	Livsmedelsverket	59.2922674	18.0755401
6659	Rehamco	Fyrverkaregatan 2, 254 61 HELSINGBORG	HELSINGBORG	SKÅNE LÄN	CP MP	II-CP V-MP I-CP	B A	Livsmedelsverket	56.0607342	12.7282579
6660	Korvhantverk Stockholm AB Fållan 7	Fållan 7, 121 62 Johanneshov	STOCKHOLM	STOCKHOLM	PP(mp)	\N	\N	Livsmedelsverket	59.2914787	18.0758767
6662	Skärhus mathantverk	Skärhus 8089, 242 96 HÖRBY	SJÖBO	SKÅNE LÄN	CP MP PP(mp) PP(f)	V-MP VI-PP(mp) XII-PP(f) I-CP	B P	Livsmedelsverket	55.8003118	13.9118187
